ID;Название;Тип постройки;Дата основания;Архитектор;Статус;Современный адрес;Краткое описание;Посвящение;lat;lon
17502;Часовня Флора и Лавра в Межно;часовня;не позже нач. XIX в.;2009: Хмелевский С. А.;действ.;Ленинградская обл., Гатчинский р-н, д. Межно;Старая деревянная часовня, входившая в рождественский приход и существовавшая с XIX в., окончательно утрачена в 1990-х. Ныне существующая клетская одноглавая часовня с притвором сооружена в 2009 в духе зодчества Русского Севера.;Флора и Лавра;59.344748;30.017605
21432;Церковь Троицы Живоначальной в Мельниково;церковь;1998;1998-2002: Кожин Д. Ю.;действ.;Ленинградская обл., Приозерский р-н, пос. Мельниково;Деревянная церковь, построенная в 1998-2002. Четверик, перекрытый своеобразной крестчатой бочкой с главкой, с алтарём и открытой папертью.;Троицы Живоначальной;60.92076;29.76117
30644;Церковь Илии Пророка в Миницкой;церковь;;нет данных;сохр.;Ленинградская обл., Подпорожский р-н, д. Миницкая;;Илии Пророка;60.357548;34.833989
32330;Часовня Георгия Победоносца в Миницкой;часовня;2009;нет данных;действ.;Ленинградская обл., Подпорожский р-н, д. Миницкая;Бревенчатая часовня-клеть под двухскатной крышей с главкой, построена на средства благотворителей в 2009.;Георгия Победоносца;60.346162;34.831381
24755;Церковь Успения Пресвятой Богородицы в Мичуринском;церковь;2006;2006-2008: Муравьев Р. Н.;действ.;Ленинградская обл., Приозерский р-н, пос. Мичуринское, пер. Успенский, 1;Деревянная церковь, построенная в 2006-2008. Четверик, завершённый глухим восьмериком под шатром, с пятигранным алтарём, боковыми притворами и шатровой колокольней над трапезной. В цокольном этаже престол Иоанна Кронштадтского (2011).;"Успения Пресвятой Богородицы; Иоанна Кронштадтского";60.569285;29.855191
26760;Церковь Иоанна Кронштадтского в Молодцово;церковь;2017;нет данных;действ.;Ленинградская обл., Кировский р-н, пос. Молодцово;"Приход образован в 2017. Птицефабрикой ""Синявинская"" приходу выделен отдельный дом, в котором устроена временная церковь, освященная 14 окт. 2017. Начато строительство постоянного храма.";Иоанна Кронштадтского;59.824049;31.101316
7015;Церковь Петра и Павла в поселке им. Морозова;церковь;нач. XX в.;;действ.;Ленинградская обл., Всеволжский р-н, пос. им. Морозова, ул. Мира, 8;Нынешняя церковь перестроена из каменного здания, поставленного на остатках фундамента прежней (1907) церкви, взорванной в 1942.;Петра и Павла;59.971806;31.024172
20778;Церковь Петра Афонского в Морье;церковь;1904;1904-1906: Кенель А. В.;сохр.;Ленинградская обл., Всеволожский р-н, д. Морье;Кирпичная церковь, построенная в 1904-1906 в формах псевдорусского стиля. Четверик, завершенный мелким пятиглавием, с алтарем и притвором, над которым поставлена шатровая колокольня. В цокольном этаже Ольгинский придел. Закрыта в 1938. Используется как склад военной части, требует ремонта. В настоящее время активно восстанавливается.;"Петра Афонского; Ольги равноапостольной";60.1655;31.0415
3076;Церковь Екатерины Великомученицы в Мурино;церковь;1784;1786-1790: Львов Н. А.;действ.;Ленинградская обл., Всеволожский р-н, с. Мурино, ул. Кооперативная, 21;Построена графом А. Р. Воронцовым по просьбе родного брата С. Р. Воронцова в память его рано умершей жены Екатерины Алексеевны. Замечательный образец классицизма, каменная одноглавая церковь, возведенная по проекту Н. А. Львова. Основу здания составляет высокий четверик с полукруглой алтарной апсидой и симметричным ей притвором. Входы в храм с южной и северной сторон оформлены портиками. На четверике поставлена восьмигранная деревянная звонница, над которой стоит деревянная 10-колонная ротонда, перекрытая куполом с главкой. В виде ротонды был устроен и иконостас. Иконы в иконостасе принадлежали кисти В. Л. Боровиковского. В 1934 сняты колокола, окончательно закрыта в 1941. В послевоенные годы в церкви располагался склад. Здание было доведено до аварийного состояния. В 1968 последовало решение сносе, которое чудом не было выполнено. В 1970-х использовалась под скульптурные мастерские. Храм возвращён верующим в 1988, восстановлен.;Екатерины Великомученицы;60.04362;30.443169
3075;Церковь Иконы Божией Матери Тихвинская в Мурино;церковь;нач. 2000-х;строится: Линдрот О. Н.;действ.;Ленинградская обл., Всеволожский р-н, с. Мурино, ул. Кооперативная, 21А;Церковь в каменном двухэтажном здании дома притча на территории Екатерининского храма. Автор проекта - архитектор О. Н. Линдрот (мастерская Г. П. Фомичева). Строительство не завершено.;Иконы Божией Матери Тихвинская;60.043709;30.444269
